"","id_ind","ind_sex","ind_age","ind_main_job_wage","ind_education_years"
"1",1,1,31,160000,6
"2",2,2,25,NA,9
"3",3,2,0,NA,NA
"4",4,2,12,NA,NA
"5",1,1,31,130000,7
"6",2,2,28,NA,6
"7",3,2,8,NA,NA
"8",4,2,5,NA,NA
"9",5,2,2,NA,NA
"10",6,2,0,NA,NA
"11",1,2,36,NA,11
"12",2,1,NA,NA,NA
"13",3,1,26,NA,7
"14",4,2,3,NA,NA
"15",5,2,NA,NA,NA
"16",6,1,NA,NA,NA
"17",7,1,0,NA,NA
"18",1,1,73,NA,6
"19",2,2,55,NA,0
"20",3,2,53,NA,7
"21",4,1,28,NA,12
"22",5,NA,NA,NA,NA
"23",6,1,24,NA,15
"24",7,NA,NA,NA,NA
"25",8,2,16,NA,NA
"26",9,2,14,NA,NA
"27",10,1,19,NA,NA
"28",11,NA,NA,NA,NA
"29",12,1,3,NA,NA
"30",13,1,3,NA,NA
"31",1,2,48,NA,7
"32",2,1,26,NA,11
"33",3,1,17,NA,NA
"34",4,1,11,NA,NA
"35",5,NA,NA,NA,NA
"36",6,1,8,NA,NA
"37",7,2,5,NA,NA
"38",1,1,50,NA,5
"39",2,2,42,NA,1
"40",3,1,NA,NA,NA
"41",4,2,18,NA,6
"42",5,1,16,NA,4
"43",6,1,13,NA,NA
"44",7,2,10,NA,NA
"45",8,2,8,NA,0
"46",9,2,5,NA,0
"47",1,1,36,NA,5
"48",2,2,26,NA,2
"49",3,2,9,NA,NA
"50",4,1,7,NA,NA
"51",5,1,19,NA,4
"52",6,2,5,NA,0
"53",7,1,2,NA,NA
"54",1,2,23,NA,7
"55",2,1,5,NA,NA
"56",3,2,3,NA,0
"57",4,1,31,40000,2
"58",1,2,64,NA,5
"59",2,1,22,NA,NA
"60",3,1,20,NA,NA
"61",4,2,84,NA,3
"62",5,1,18,50000,4
"63",1,2,26,NA,NA
"64",2,NA,NA,NA,NA
"65",3,NA,NA,NA,NA
"66",4,2,55,NA,NA
"67",5,2,15,NA,NA
"68",6,1,12,NA,NA
"69",7,2,9,NA,NA
"70",8,2,14,NA,NA
"71",9,2,14,NA,NA
"72",10,NA,NA,NA,NA
"73",11,2,1,NA,NA
